Unique_study_nr;Moderator;First_author;Year;Paper_nr;Usability;Coder;Date_coded;int_T1;int_svar_T1;ostr_main_T1;ostr_main_svar_T1;mod_main_T1;mod_main_svar_T1;ostr_nomod_simple_main_T1;ostr_nomod_simple_main_svar_T1;ostr_mod_simple_main_T1;ostr_mod_simple_main_svar_T1;mod_ostr_simple_main_T1;mod_ostr_simple_main_svar_T1;mod_incl_simple_main_T1;mod_incl_simple_main_svar_T1;int_T2;int_svar_T2;ostr_main_T2;ostr_main_svar_T2;mod_main_T2;mod_main_svar_T2;ostr_nomod_simple_main_T2;ostr_nomod_simple_main_svar_T2;ostr_mod_simple_main_T2;ostr_mod_simple_main_svar_T2;mod_ostr_simple_main_T2;mod_ostr_simple_main_svar_T2;mod_incl_simple_main_T2;mod_incl_simple_main_svar_T2;Country;Incentive;SampleRestrict;PropSex;N;AgeM;AgeSD;n11;n12;n21;n22;SubjectDesign;ConditionDesign;Dichotomized;ConditionAssignment;Part_Quasi;GameType;PlayersGame;ObjectExcl;PlayerMatching;Excluder;ExclusionSess;FormExcluded;CrossCutVar;ModType;OrderCyberCross;ParticSelect;RandomDV;xReceive;ThrowLast;SelFinal1;NeedScale;Dvfirst;Needs1;Expect1;Reliability1;M11_1;SD11_1;M12_1;SD12_1;M21_1;SD21_1;M22_1;SD22_1;SelFinal2;Dvlast;Needs2;Expect2;Reliability2;M11_2;SD11_2;M12_2;SD12_2;M21_2;SD21_2;M22_2;SD22_2;Nr_of_measures;Item_number;Add_time;Time_est;H1_incl;H2_incl;Model_immediate;Paper_immediate;Model_delayed;Paper_delayed;Imm_Need_thr_aanwezig;Prec_mancheck;Prec_mancheck
11;1;Alvares;2010;2;Y;CH;20130122;-0.149480547;0.236937572;-2.058422489;0.082722643;-0.017208821;0.054214455;-1.212332556;0.117612035;-0.855600029;0.119325537;0.056085479;0.101805749;-0.104543099;0.106075563;1.121805839;0.228205724;-1.324056548;0.065939011;1.799615312;0.07609499;-0.100834119;0.098899436;-1.196120375;0.129306288;-0.437355469;0.1042812;0.786594185;0.114517245;2;0;0;0.5;74;21.91;5.93;17;21;18;18;1;2;0;1;0;1;3;1;0;1;1;1;3;1;-1;0;0;2;30;;1;1;2;1;0.78;3.0588;1.2147;3;0.84327;3.9074;0.65485;3.9815;0.72736;;5;0;1;;45.21;28.18;57.5;26.9;73.75;17.45;59.86;17.03;6;22;0;132;1;1;1;1;1;0;1;0;0
1;;Riva;2011;38;Y;CH;20130111;NA;NA;-2.053135238;0.127388306;NA;NA;-2.101034365;0.126623446;NA;NA;NA;NA;NA;NA;NA;NA;-1.063068875;0.095250297;NA;NA;-1.087870004;0.092968402;NA;NA;NA;NA;NA;NA;2;1;0;0.47;100;19.02;0.27;;25;;23;1;2;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;1;21;;1;1;0;-1;0.97;;;4.84;2.3;;;1.2;0.54;;4;0;-1;0.92;;;4.29;1.2;;;3.16;0.78;7;39;0;234;1;0;;;;;;;
2;;Peterson;2011;137;Y;CH;20130111;NA;NA;-0.866399995;0.109383112;NA;NA;-0.891273153;0.105777806;NA;NA;NA;NA;NA;NA;NA;NA;-0.8835672;0.109758637;NA;NA;-0.908933204;0.106175202;NA;NA;NA;NA;NA;NA;1;1;1;0.5;40;18.65;0.864;;20;;20;1;1;0;1;0;1;3;1;0;2;1;1;0;0;NA;0;0;2.66666664;24;;2;1;0;-1;NA;;;3.3;2.11;;;1.75;1.16;;1;0;1;0.87;;;2.85;0.94;;;3.82;1.14;9;31;0;186;1;0;;;;;;;
3;;Stock;2011;47;Y;CH;20130111;NA;NA;-1.98322019;0.038520954;NA;NA;-1.996445109;0.038434322;NA;NA;NA;NA;NA;NA;NA;NA;-0.132591872;0.025890045;NA;NA;-0.133476048;0.025634395;NA;NA;NA;NA;NA;NA;1;2;1;0.412903226;155;21.5;1.9;;75;;80;1;2;0;1;0;1;4;1;1;1;1;1;0;0;NA;0;0;3;30;;NA;1;2;1;0.89;;;2.42;0.952627944;;;4.46;1.073312629;;1;2;1;0.67;;;5.46;1.125833025;;;5.62;1.252198067;3;18;0;108;1;0;;;;;;;
4;;Kerr;2008;136;Y;CH;20130113;NA;NA;-1.654332579;0.02147773;NA;NA;-1.661085617;0.021424972;NA;NA;NA;NA;NA;NA;NA;NA;-0.05233558;0.016009575;NA;NA;-0.052549216;0.015912084;NA;NA;NA;NA;NA;NA;1;1;0;0.494565217;250;NA;NA;;127;;123;1;5;0;1;0;1;4;1;1;1;1;1;0;0;NA;0;0;2;30;;NA;1;2;1;NA;;;2.72;1.8;;;6.01;2.14;;2;0;1;;;;15.76167087;21.59827544;;;17.0145122;25.81915989;4;13;1;138;1;0;;;;;;;
5;;Gruijters;NA;173;Y;CH;20130113;NA;NA;-0.254622818;0.05935117;NA;NA;-0.258670432;0.057989314;NA;NA;NA;NA;NA;NA;NA;NA;-1.052605321;0.067021356;NA;NA;-1.069338071;0.065905296;NA;NA;NA;NA;NA;NA;2;0;0;0.792792793;113;21.31;1.95;;35;;33;1;5;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;;1;1;0;1;NA;;;49.2;13.84;;;52.94;14.75;1;1;1;1;;;;3.72;1.23;;;4.97;1.07;5;40;0;240;1;0;;;;;;;
6;;Ruggieri;NA;169;Y;CH;20130121;NA;NA;-0.381079986;0.044801791;NA;NA;-0.385514668;0.044062886;NA;NA;NA;NA;NA;NA;NA;NA;-0.558855717;0.045719911;NA;NA;-0.5653592;0.045002498;NA;NA;NA;NA;NA;NA;2;3;1;0.483516484;91;12.67;0.79;;47;;44;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;12;40;;4;1;0;1;0.64;;;5.53;1.27;;;5.95;0.83;;1;2;1;0.47;;;2.14;0.66;;;2.49;0.56;5;16;0;96;1;0;;;;;;;
7;1;Ruggieri;NA;174;Y;CH;20130121;-0.314997776;0.241227597;-0.493178337;0.056055176;0.410451648;0.055831589;-0.060376225;0.129397043;-1.173631279;0.111830554;1.018968153;0.109795073;0.032937557;0.127712883;-0.678026305;0.227484002;0.24655502;0.054822504;-0.114544646;0.054781926;-0.226875253;0.130121696;0.437051566;0.097362307;-0.533204331;0.100370207;-0.076412305;0.127782794;2;3;1;0.567567568;74;12.1;1.66;18;22;23;11;1;2;0;1;1;1;3;1;1;1;1;1;3;-1;-1;0;0;12;40;;6;1;0;1;0.762;4.8;1.28;5.94;0.919;6.07;0.852;6.22;7.84;;1;2;-1;0.485;2.22;0.808;2.62;0.669;2.52;0.545;2.48;0.424;5;16;0;96;1;1;1;1;0;0;1;0;0
8;1;Hellmann;NA;175;Y;CH;20130121;-1.404233665;0.222124269;-0.606096852;0.055048378;0.310074278;0.053264119;-1.211379729;0.119945209;0.342364581;0.10217906;0.831837328;0.109741426;-0.551117495;0.104633231;0.739366075;0.20656746;-0.319271714;0.0533022;-0.444033861;0.053928724;0.185231126;0.101088232;-0.6066517;0.105479228;-0.516967454;0.104153295;0.172483273;0.101028231;2;1;0;NA;76;22.08;2.9;19;19;19;19;1;2;0;1;0;1;3;1;0;1;1;1;3;1;1;0;0;2;30;;NA;5;0;-1;NA;2.474;1.307;3.389;0.778;2.9;1.119;2.316;0.946;;1;0;-1;0.805;5.355;0.826;4.722;1.478;4.788;0.994;4.947;0.798;2;2;0;12;1;1;0;0;1;1;0;0;0
9;;Van Dijk;NA;176;Y;CH;20130121;NA;NA;-1.46759146;0.099577467;NA;NA;-1.499584236;0.098010847;NA;NA;NA;NA;NA;NA;NA;NA;-0.041690244;0.078478578;NA;NA;-0.042599071;0.075982041;NA;NA;NA;NA;NA;NA;2;0;0;NA;51;NA;NA;;26;;25;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;;NA;1;0;1;0.92;;;4.014;1.218;;;5.715;0.999;;1;0;1;0.418;;;4.062;0.741;;;4.096;0.829;7;26;0;156;1;0;;;;;;;
